,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
11195,Mohamed Salah,2.7,12,28.8,5.6,5.0,17,22.0,2,0
11198,Luke Freeman,0.0,0,0.0,0.0,0.0,13,0.0,0,0
11199,Jack Cork,-0.3,3,11.1,1.6,4.8,2,0.0,1,1
11200,Harry Winks,0.7,8,2.0,0.6,4.4,11,0.0,1,1
11201,Alexandre Jankewitz,0.7,0,0.0,0.0,0.0,1,0.0,0,1
11204,Johann Berg Gudmundsson,0.7,2,0.4,0.4,4.0,2,0.0,1,1
11205,Manuel Lanzini,1.0,0,0.0,0.0,0.0,6,0.0,0,0
11206,Tanguy Ndombele,3.5,15,7.4,1.9,9.4,11,2.0,2,1
11207,Amad Diallo,2.5,0,0.0,0.0,0.0,15,0.0,0,1
11209,Willian Borges Da Silva,1.3,4,1.5,0.6,4.0,16,0.0,1,0
11214,Rekeem Harper,0.0,0,0.0,0.0,0.0,12,0.0,0,1
11219,Jarrod Bowen,4.5,17,20.4,5.2,23.4,6,8.0,5,0
11221,Cole Palmer,0.4,0,0.0,0.0,0.0,18,0.0,0,0
11224,Matthew Longstaff,1.2,0,0.0,0.0,0.0,10,0.0,0,1
11225,Meritan Shabani,-0.5,0,0.0,0.0,0.0,5,0.0,0,0
11227,Jordan Stevens,0.0,0,0.0,0.0,0.0,14,0.0,0,0
11233,Declan Rice,2.5,21,18.1,4.4,21.4,6,4.0,2,0
11234,Emile Smith Rowe,5.5,11,5.8,3.1,7.4,16,18.0,2,0
11236,Will Ferry,-0.5,0,0.0,0.0,0.0,1,0.0,0,1
11237,Abdoulaye Doucouré,0.0,0,0.0,0.0,0.0,9,0.0,0,1
11239,Owen Otasowie,-0.3,0,0.0,0.0,0.0,5,0.0,0,0
11241,Adam Forshaw,0.0,0,0.0,0.0,0.0,14,0.0,0,0
11243,Jacob Murphy,1.3,7,15.3,3.0,2.4,10,12.0,2,1
11247,Davy Pröpper,1.7,5,0.3,0.3,2.2,8,0.0,1,1
11248,Thomas Partey,2.7,8,2.5,1.8,15.2,16,0.0,2,0
11249,Pablo Fornals,3.5,17,46.7,8.8,22.2,6,19.0,2,0
11252,Jayson Molumby,0.0,0,0.0,0.0,0.0,8,0.0,0,1
11253,Mateo Kovacic,2.5,19,33.7,6.4,29.6,20,1.0,3,1
11254,Takumi Minamino,0.7,0,0.0,0.0,0.0,17,0.0,0,0
11256,Sofiane Boufal,0.0,0,0.0,0.0,0.0,1,0.0,0,1
11258,Isaac Hayden,1.2,13,11.0,2.5,14.0,10,0.0,2,1
11260,Mateusz Klich,1.7,3,1.0,2.5,6.0,14,18.0,1,0
11265,Brandon Pierrick,0.0,0,0.0,0.0,0.0,19,0.0,0,1
11267,John Lundstram,2.0,25,22.7,5.4,31.2,13,0.0,6,0
11268,Mohamed Naser El Sayed Elneny,1.0,4,10.0,1.2,2.2,16,0.0,1,0
11269,Nampalys Mendy,0.7,8,1.9,0.7,3.6,7,1.0,1,0
11270,John Fleck,3.3,17,29.6,6.5,33.0,13,2.0,5,0
11273,Reiss Nelson,0.5,0,0.0,0.0,0.0,16,0.0,0,0
11275,Wilfred Ndidi,4.7,5,1.5,1.2,10.4,7,0.0,1,0
11278,Max Sanders,0.5,0,0.0,0.0,0.0,8,0.0,0,1
11280,Ashley Westwood,2.3,26,31.3,6.7,33.8,2,2.0,5,1
11282,Bernard Anício Caldeira Duarte,0.5,0,0.0,0.0,0.0,9,0.0,0,1
11284,Percy Tau,1.5,0,0.0,0.0,0.0,8,0.0,0,1
11287,Rúben Diogo da Silva Neves,4.7,11,0.4,1.5,14.0,5,1.0,3,0
11291,Gareth Bale,-0.3,2,0.6,0.0,0.0,11,0.0,1,1
11293,Ross Barkley,2.5,12,28.3,3.7,3.0,4,6.0,2,0
11294,Paul Pogba,6.5,18,17.3,4.1,19.8,15,4.0,2,1
11295,Harry Wilson,0.0,0,0.0,0.0,0.0,17,0.0,0,0
11296,Leighton Clarkson,0.5,0,0.0,0.0,0.0,17,0.0,0,0
11298,Reda Khadra,0.8,0,0.0,0.0,0.0,8,0.0,0,1
11300,Nathan Tella,-0.2,0,0.0,0.0,0.0,1,0.0,0,1
11302,Jorge Luiz Frello Filho,2.0,13,24.1,4.3,16.6,20,2.0,3,1
11303,Fabian Delph,0.0,0,0.0,0.0,0.0,9,0.0,0,1
11308,Bruno André Cavaco Jordao,0.0,0,0.0,0.0,0.0,5,0.0,0,0
11309,Henri Lansbury,0.0,0,0.0,0.0,0.0,4,0.0,0,0
11310,Mahmoud Ahmed Ibrahim Hassan,1.0,5,0.3,0.2,2.0,4,0.0,1,0
11311,Ruben Loftus-Cheek,1.3,1,12.1,4.1,8.6,3,20.0,3,0
11312,Jensen Weir,0.5,0,0.0,0.0,0.0,8,0.0,0,1
11314,Mario Lemina,0.0,2,0.3,0.2,1.8,3,0.0,1,0
11315,Heung-Min Son,5.0,10,4.8,3.3,7.0,11,21.0,2,1
11330,Sean Longstaff,0.7,0,0.0,0.0,0.0,10,0.0,0,1
11332,Luke Cundle,-0.5,0,0.0,0.0,0.0,5,0.0,0,0
11335,Alex Iwobi,2.5,2,0.2,0.0,0.2,9,0.0,1,1
11338,Ademola Lookman,3.3,13,64.1,9.0,16.0,3,10.0,3,0
11339,Raphael Dias Belloli,5.7,36,22.7,11.7,61.8,14,32.0,13,0
11340,Allan Marques Loureiro,0.0,0,0.0,0.0,0.0,9,0.0,0,1
11342,Christian Atsu,0.0,0,0.0,0.0,0.0,10,0.0,0,1
11343,Matteo Guendouzi,0.0,0,0.0,0.0,0.0,16,0.0,0,0
11344,Erik Lamela,0.0,2,1.3,0.5,2.0,11,2.0,1,1
11345,Allan Saint-Maximin,0.3,0,10.6,2.4,3.6,10,10.0,1,1
11347,Gedson Carvalho Fernandes,-0.5,0,0.0,0.0,0.0,11,0.0,0,1
11348,Lucas Rodrigues Moura da Silva,0.0,0,0.0,0.0,0.0,11,0.0,0,1
11350,Miguel Almirón,2.7,33,32.8,11.0,51.4,10,26.0,9,1
11352,Theo Corbeanu,-0.5,0,0.0,0.0,0.0,5,0.0,0,0
11355,John McGinn,1.7,15,26.0,5.0,15.0,4,9.0,2,0
11360,Cheikhou Kouyaté,2.0,13,0.4,1.2,9.4,19,2.0,2,1
11362,Mason Mount,4.5,4,15.3,2.0,2.4,20,2.0,1,1
11365,Felix Nmecha,1.5,0,0.0,0.0,0.0,18,0.0,0,0
11366,James McArthur,4.0,13,21.2,4.7,20.6,19,5.0,2,1
11367,Leandro Trossard,5.3,13,25.8,10.8,21.2,8,61.0,3,1
11368,Diogo Jota,0.0,0,0.0,0.0,0.0,17,0.0,0,0
11370,Ben Osborn,0.2,0,0.0,0.0,0.0,13,0.0,0,0
11374,Rodrigo Hernandez,4.9,13,9.6,1.9,8.0,18,1.0,3,0
11375,Robert Snodgrass,-0.7,4,15.2,1.9,2.2,12,2.0,1,1
11377,Steven Bergwijn,3.3,16,23.6,4.9,19.0,11,6.0,4,1
11389,Daniel Castelo Podence,0.0,4,3.8,0.6,0.0,5,2.0,3,0
11391,Lucas Torreira,0.0,0,0.0,0.0,0.0,16,0.0,0,0
11393,Matt Phillips,-0.7,2,0.2,0.2,0.0,12,2.0,1,1
11397,Xherdan Shaqiri,1.5,0,0.0,0.0,0.0,17,0.0,0,0
11399,Alexis Mac Allister,3.0,8,23.5,4.2,14.4,8,4.0,2,1
11410,Alex Oxlade-Chamberlain,0.9,0,0.0,0.0,0.0,17,0.0,0,0
11413,Moussa Sissoko,0.3,0,0.0,0.0,0.0,11,0.0,0,1
11420,Daniel James,0.7,0,0.0,0.0,0.0,15,0.0,0,1
11422,Marc Albrighton,4.3,6,2.1,2.4,3.0,7,19.0,2,0
11427,Conor Gallagher,-1.0,0,0.0,0.0,0.0,12,0.0,0,1
11428,Dwight McNeil,4.0,38,33.5,10.1,57.0,2,10.0,13,1
11429,Kalvin Phillips,1.0,10,15.1,3.0,14.4,14,0.0,2,0
11431,Tom Cairney,0.0,0,0.0,0.0,0.0,3,0.0,0,0
11433,Grady Diangana,-1.3,0,0.0,0.0,0.0,12,0.0,0,1
11434,Pascal Groß,2.0,17,47.3,9.3,13.0,8,33.0,3,1
11435,Pedro Lomba Neto,2.3,-2,16.2,2.4,2.8,5,5.0,2,0
11436,Thiago Alcántara do Nascimento,2.1,5,7.6,1.1,0.4,17,3.0,1,0
11437,Tommy Doyle,1.5,0,0.0,0.0,0.0,18,0.0,0,0
11441,Jack Wilshere,0.0,0,0.0,0.0,0.0,6,0.0,0,0
11443,Anthony Mancini,-0.5,0,0.0,0.0,0.0,2,0.0,0,1
11446,Adama Traoré,2.0,8,10.8,1.7,6.4,5,0.0,3,0
11447,Callum Hudson-Odoi,3.7,15,39.8,8.6,17.6,20,29.0,3,1
11453,Tom Davies,1.2,10,1.1,1.6,14.2,9,1.0,2,1
11457,Hamza Choudhury,0.5,0,0.0,0.0,0.0,7,0.0,0,0
11459,Tahith Chong,0.0,0,0.0,0.0,0.0,15,0.0,0,1
11465,Marvelous Nakamba,1.3,0,0.0,0.0,0.0,4,0.0,0,0
