,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home,GW,Shots on target 
12093,Dominic Calvert-Lewin,1.3,2,16.8,5.7,11.2,14,29,2,1,,
12103,David McGoldrick,1.6,1,0.5,0.5,2.6,12,2,1,0,,
12115,Yoshinori Muto,0,0,0,0,0,7,0,0,0,,
12116,Antwoine Hackford,-0.8,0,0,0,0,12,0,0,0,,
12120,Daniel N'Lundulu,0.8,0,0,0,0,2,0,0,1,,
12121,Aleksandar Mitrović,1.8,28,57.6,11.6,37.2,18,21,7,0,,
12123,Anthony Martial,1.8,2,22.3,6.1,10.4,1,28,1,0,,
12137,Jay Rodriguez,0,3,0.5,0.5,2.2,5,2,1,0,,
12149,Joelinton Cássio Apolinário de Lira,0.7,0,0,0,0,7,0,0,0,,
12155,Ellis Simms,0,0,0,0,0,14,0,0,1,,
12162,Patrick Bamford,4.5,56,35.3,16.6,74.2,9,56,15,0,,
12163,Karlan Grant,0.8,7,2.4,2.8,6.6,8,19,2,1,,
12165,Callum Robinson,3,2,0.8,0,0,8,0,1,1,,
12174,Oliver McBurnie,-0.2,2,0.5,0.3,2.6,12,0,1,0,,
12176,Sergio Agüero,0,0,0,0,0,15,0,0,1,,
12196,Jordan Ayew,2.6,22,24.4,5.3,25,20,4,5,1,,
12205,Michail Antonio,5.2,5,1,4.9,8,11,40,2,1,,
12206,Callum Wilson,4.3,42,3.6,15.8,73,7,81,13,0,,
12211,Leonardo Campana,0,0,0,0,0,6,0,0,0,,
12214,Keinan Davis,0.2,0,0,0,0,16,0,0,0,,
12215,Odion Ighalo,0,0,0,0,0,1,0,0,0,,
12223,Olivier Giroud,1.8,0,0,0,0,4,0,0,1,,
12230,Rhian Brewster,0.2,6,1.1,1.2,2.2,12,9,2,0,,
12241,Andy Carroll,2,0,0,0,0,7,0,0,0,,
12254,Willian José Da Silva,1.5,3,1.9,6.9,7,6,60,2,0,,
12257,Indiana Vassilev,0,0,0,0,0,16,0,0,0,,
12259,Wesley Moraes,0,0,0,0,0,16,0,0,0,,
12260,Sébastien Haller,0,0,0,0,0,11,0,0,1,,
12261,Matej Vydra,-0.2,3,0.8,0.4,0,5,4,1,0,,
12263,Billy Sharp,0.8,3,11.3,1.5,2,12,2,1,0,,
12267,Rodrigo Moreno,1.7,3,1.2,0.1,0,9,0,1,0,,
12273,Islam Slimani,0,0,0,0,0,10,0,0,1,,
12281,Jordan Hugill,0,0,0,0,0,11,0,0,1,,
12282,Alexandre Lacazette,5.8,2,1.1,1.3,0,13,12,2,1,,
12288,Tammy Abraham,2,0,1.7,0.1,0,4,2,1,1,,
12292,Lewis Richardson,-1,0,0,0,0,5,0,0,0,,
12298,Cenk Tosun,0,0,0,0,0,14,0,0,1,,
12300,Mbaye Diagne,2,17,24.3,4.6,21.2,8,0,4,1,,
12305,Divock Origi,2,5,18.8,4.4,1.8,19,23,2,0,,
12321,Dwight Gayle,0.3,0,0,0,0,7,0,0,0,,
12324,Liam Delap,1,0,0,0,0,15,0,0,1,,
12334,Aaron Connolly,-0.6,3,0.6,0.2,1,11,0,1,0,,
12345,Raúl Jiménez,0,0,0,0,0,1,0,0,1,,
12349,Jean-Philippe Mateta,0,0,0,0,0,14,0,0,0,,
12357,Neal Maupay,2,4,12.9,3.6,0,11,24,2,0,,
12358,Moise Kean,0,0,0,0,0,10,0,0,0,,
12376,Niall Huggins,0,0,0,0,0,7,0,0,1,,
12377,Shane Long,0,0,0,0,0,13,0,0,0,,
12384,Jamie Vardy,0,0,0,0,0,8,0,0,0,,
12388,Léo Bonatini,0,0,0,0,0,1,0,0,1,,
12397,Kelechi Iheanacho,2.6,25,14,8.5,33.8,8,37,6,0,,
12404,Gabriel Fernando de Jesus,5.8,37,6.3,10.3,36,4,61,9,0,,
12410,Kenneth Zohore,0,0,0,0,0,15,0,0,0,,
12425,Richarlison de Andrade,1.8,7,1.7,0.8,4.8,10,1,2,0,,
12427,Danny Welbeck,0,0,0,0,0,11,0,0,0,,
12428,Edward Nketiah,0.9,0,0,0,0,20,0,0,0,,
12430,Timo Werner,1.8,17,23.8,10.4,8.2,17,72,5,0,,
12435,Ollie Watkins,4.4,18,7,9.1,29,19,55,6,1,,
12439,Roberto Firmino,4.2,10,4.6,5.4,4,3,45,2,1,,
12515,Che Adams,1.3,2,11.6,2.5,9.2,13,4,2,0,,
12516,Hal Robson-Kanu,0.1,1,0.3,0.4,0,15,4,1,0,,
12517,Andi Zeqiri,-0.8,3,0,0,0,11,0,1,0,,
12520,Carlos Vinicius Alves Morais,1,-1,2.8,1.1,2,5,6,2,1,,
12528,Christian Benteke,1.6,1,2.1,0.5,1.2,14,2,1,0,,
12530,Joshua King,1.7,1,0,0,0.2,10,0,1,0,,
12544,Cheikh Diaby,-0.5,0,0,0,0,15,0,0,0,,
12575,Charlie Austin,0,0,0,0,0,15,0,0,0,,
12578,Ashley Barnes,0.1,0,0,0,0,12,0,0,1,,
12609,Albian Ajeti,0,0,0,0,0,2,0,0,0,,
12622,Danny Ings,1,7,0.5,1.1,10,13,0,2,0,,
12630,Bobby Decordova-Reid,1.2,2,2,2.3,1.4,9,20,1,1,,
12638,Michy Batshuayi,2.2,4,3.3,1.6,5.8,14,7,2,0,,
12639,Ademipo Odubeko,0,0,0,0,0,2,0,0,0,,
12658,Harry Kane,0,0,0,0,0,5,0,0,1,,
12664,Edinson Cavani,3.5,25,2.5,5.9,31.4,16,25,5,1,,
12676,Florin Andone,0,0,0,0,0,11,0,0,0,,
12685,Fabio Silva,1.5,3,0,0,0,1,0,1,1,,
12692,Chris Wood,0.3,0,0,0,0,12,0,0,1,,
12708,Connor Wickham,0,0,0,0,0,14,0,0,0,,
12711,Glenn Murray,0,0,0,0,0,11,0,0,0,,
12722,Patrick Cutrone,0,0,0,0,0,1,0,0,1,,
12725,Mbwana Samatta,0,0,0,0,0,19,0,0,1,,
12732,Lys Mousset,0.5,0,0,0,0,18,0,0,1,,
12740,Joel Mumbongo,-1.3,-1,0,0,0,12,0,0,1,,
12747,Max Thompson,-1.5,0,0,0,0,12,0,0,1,,
12752,Michael Obafemi,0,0,0,0,0,13,0,0,0,,
12753,Dominic Calvert-Lewin,3.2,27,5.1,14.5,49,10,91,9,0,,
12763,David McGoldrick,2.9,10,5.5,4.4,16,18,22,1,1,,
12775,Yoshinori Muto,0,0,0,0,0,6,0,0,1,,
12776,Antwoine Hackford,0.5,0,0,0,0,18,0,0,1,,
12781,Daniel N'Lundulu,0,0,0,0,0,13,0,0,0,,
12782,Aleksandar Mitrović,0.8,2,17.8,4.7,0,9,33,2,1,,
12784,Anthony Martial,4.2,51,3.8,15.4,62.4,16,88,13,1,,
12798,Jay Rodriguez,-0.3,0,1.2,0.2,0,12,2,2,1,,
12810,Joelinton Cássio Apolinário de Lira,0.3,0,0,0,0,6,0,0,1,,
12816,Ellis Simms,0,0,0,0,0,10,0,0,0,,
12823,Patrick Bamford,4.3,17,32.3,9.6,22,7,42,5,1,,
12824,Karlan Grant,0.5,3,0.8,0.3,0,15,2,1,0,,
12826,Callum Robinson,2.5,2,0.7,5.5,10,15,44,2,0,,
12835,Oliver McBurnie,0.9,5,21.8,5.2,8.4,18,22,1,1,,
12837,Sergio Agüero,0,0,0,0,0,4,0,0,0,,
