,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
677,Jimmy Dunne,5.5,22,10.9,9.9,57.8,9,30.0,6,0
679,Joel Matip,1.0,0,0.0,0.0,0.0,5,0.0,0,0
680,Joel Ward,3.0,9,11.2,3.9,28.2,13,0.0,1,0
681,Joe Bryan,2.0,20,1.8,2.1,14.0,10,5.0,3,0
684,John Egan,-0.5,-5,0.0,0.0,0.0,2,0.0,-2,0
689,John Stones,3.0,14,0.3,2.1,20.2,20,0.0,2,0
691,Jonathan Castro Otto,0.0,0,0.0,0.0,0.0,12,0.0,0,1
693,Jonjoe Kenny,0.5,0,0.0,0.0,0.0,18,0.0,0,1
695,Jonny Evans,0.0,0,0.0,0.0,0.0,4,0.0,0,1
702,Joseph Gomez,1.0,0,0.0,0.0,0.0,5,0.0,0,0
708,José Diogo Dalot Teixeira,0.5,0,0.0,0.0,0.0,6,0.0,0,1
712,João Pedro Cavaco Cancelo,1.0,0,0.0,0.0,0.0,20,0.0,0,0
714,Joël Veltman,-0.5,0,0.0,0.0,0.0,14,0.0,0,0
715,Juan Foyth,0.5,0,0.0,0.0,0.0,16,0.0,0,0
725,Kelland Watts,0.0,0,0.0,0.0,0.0,3,0.0,0,1
727,Kenny Tete,1.0,22,33.6,7.4,38.6,10,2.0,2,0
730,Kevin Long,-0.5,11,10.2,3.9,22.8,9,6.0,0,0
732,Kieran Gibbs,-2.0,-1,11.5,1.5,1.0,7,2.0,-4,0
733,Kieran Tierney,3.5,0,0.0,0.0,0.0,19,0.0,0,1
734,Konstantinos Tsimikas,0.4,0,0.0,0.0,0.0,5,0.0,0,0
735,Kortney Hause,-0.5,0,0.0,0.0,0.0,15,0.0,0,1
736,Kurt Zouma,4.0,16,0.2,3.6,18.4,11,17.0,1,1
737,Kyle Bartley,0.0,11,0.2,2.3,23.0,7,0.0,0,0
739,Kyle Walker-Peters,1.5,29,12.5,4.6,33.0,17,0.0,3,1
740,Kyle Walker,3.0,12,6.3,4.2,23.8,20,12.0,2,0
743,Leif Davis,0.0,0,0.0,0.0,0.0,8,0.0,0,1
745,Lewis Dunk,3.5,26,0.8,2.0,18.8,14,0.0,7,0
746,Liam Cooper,0.4,14,0.4,1.4,13.4,8,0.0,1,1
748,Lucas Digne,7.0,19,75.5,10.9,21.8,18,12.0,1,1
753,Luke Ayling,0.5,12,1.3,2.0,18.8,8,0.0,1,1
755,Luke Shaw,1.5,15,7.8,2.3,12.8,6,2.0,1,1
756,Luke Thomas,0.5,0,0.0,0.0,0.0,4,0.0,0,1
760,Mamadou Sakho,0.5,12,0.8,1.8,17.2,13,0.0,2,0
762,Marcos Alonso,1.0,14,11.8,2.3,9.4,11,2.0,1,1
763,Marcos Rojo,0.5,0,0.0,0.0,0.0,6,0.0,0,1
772,Martin Kelly,-0.5,0,0.0,0.0,0.0,13,0.0,0,0
773,Martín Montoya,0.0,0,0.0,0.0,0.0,14,0.0,0,0
776,Mason Holgate,0.0,0,0.0,0.0,0.0,18,0.0,0,1
786,Matthew Cash,4.5,27,33.9,6.9,19.0,15,16.0,5,1
787,Matthew Clarke,0.0,0,0.0,0.0,0.0,14,0.0,0,0
789,Matthew Lowton,-0.5,0,0.0,0.0,0.0,9,0.0,0,0
791,Matt Doherty,1.5,-1,1.2,0.4,3.0,16,0.0,0,0
795,Matt Targett,4.5,18,11.0,1.4,0.8,15,2.0,5,1
796,Maxime Le Marchand,0.0,0,0.0,0.0,0.0,10,0.0,0,0
797,Max Kilman,-1.0,0,0.0,0.0,0.0,12,0.0,0,1
798,Max Lowe,0.5,0,0.0,0.0,0.0,2,0.0,0,0
802,Michael Hector,0.0,15,10.4,4.1,13.0,10,18.0,0,0
803,Michael Keane,7.0,28,11.0,10.2,49.6,18,41.0,7,1
810,Mohammed Salisu,-0.2,0,0.0,0.0,0.0,17,0.0,0,1
818,Nathan Aké,3.0,12,0.4,0.8,7.4,20,0.0,2,0
819,Nathan Ferguson,0.0,0,0.0,0.0,0.0,13,0.0,0,0
823,Neco Williams,0.5,0,0.0,0.0,0.0,5,0.0,0,0
825,Neil Taylor,-0.5,0,0.0,0.0,0.0,15,0.0,0,1
829,Nicolás Otamendi,1.0,0,0.0,0.0,0.0,20,0.0,0,0
831,Oleksandr Zinchenko,1.0,0,0.0,0.0,0.0,20,0.0,0,0
833,Oliver Casey,0.0,0,0.0,0.0,0.0,8,0.0,0,1
839,Oluwasemilogo Adesewo Ibidapo Ajayi,-0.5,9,0.3,1.1,10.6,7,0.0,0,0
